actual_value,cme_estimator,cme_estimator_square_error,direct_estimator,direct_estimator_square_error,doubly_robust_estimator,doubly_robust_estimator_square_error,ips_estimator,ips_estimator_square_error,null_reward,multiplier
0.881,0.6359418697830846,0.06005348718541065,0.4400338576966518,0.19445113865789673,0.44510184475682874,0.19000720174439983,0.19839606422012832,0.46594813314217115,0.2666,-0.9
0.8734,0.6708121247926487,0.04104184718102931,0.48259195374273695,0.15273092901941904,0.5858790876733491,0.08266827502514967,0.23144944539209622,0.4121005145613952,0.3052,-0.7
0.8858,0.7481135944027502,0.0189575462862904,0.6822935460992158,0.041414876779272025,0.5325358744726664,0.12479554238459176,0.34244915109981006,0.295230145000557,0.3128,-0.7
0.8782,0.7124089186564686,0.027486682653057436,0.6378735832794103,0.0577567865737585,0.9758260070664805,0.0095308372557445,2.766688502595647,3.566388824435949,0.3066,-0.7
0.875,0.7280172724753855,0.021603922190575067,0.500141679820884,0.14051876020750867,0.7390242592234751,0.018489402079724684,0.15009824772304894,0.5254825504541941,0.3046,-0.7
0.879,0.6895833502944971,0.03587866718565718,0.7533355920284986,0.015791543430827934,0.5873521696996413,0.08505845691890682,0.3278513229347674,0.3037648642307561,0.31,-0.7
0.8852,0.715804279758469,0.028694910036147013,0.5678814716499299,0.10069104843425426,0.6188128102077668,0.07096213488540327,0.08085901068316272,0.6469644270951885,0.3076,-0.7
0.8804,0.649821549296932,0.053166421928627125,0.4677741561339702,0.17026008702615314,0.4839117547293682,0.15720292863778465,0.24938426156375257,0.39818086215424253,0.2978,-0.7
0.8804,0.6474314330523013,0.054274353185664335,0.48989029512107374,0.15249782960462605,0.5912209926012919,0.08362449832010205,0.0582599668437907,0.6759142341180928,0.3006,-0.7
0.8804,0.704187126580417,0.03105097675878595,0.6122131528630853,0.07192418497723883,0.6269945171421683,0.06421433874241084,0.19960190075130707,0.463486051940633,0.2976,-0.7
0.8756,0.7134244493448967,0.026300909230285996,0.6037790928949427,0.07388660553941621,0.8705935142357796,2.506489970734222e-05,0.46853664068898787,0.1657005784935662,0.3086,-0.7
0.876,0.6953054657859781,0.032650514694822344,0.611811755264271,0.06979542865654544,0.6534716719729701,0.04951885677450543,0.14915050531529672,0.5283101879234084,0.2958,-0.7
0.876,0.7470387224232913,0.016631011114216915,0.7023496166102589,0.030154455651404087,0.6425221779420802,0.054511893392909655,0.13176095175249983,0.553891760936345,0.3006,-0.7
0.8752,0.6810628281403024,0.037689241497681755,0.48993473524282455,0.14842932422841648,0.6140485479731944,0.06820008089570893,0.1861801416857476,0.47474836515139246,0.3006,-0.7
0.8814,0.6826376427902944,0.0395064746435586,0.6358088618709473,0.06031500712752341,0.9002389442311963,0.00035490581974612675,0.652622361278717,0.05233920797888588,0.3102,-0.7
0.8744,0.662333614133626,0.0449721520144258,0.550355597427953,0.1050047748382748,0.6152782041387228,0.06714410509037338,0.2657592461781397,0.3704435672128424,0.2942,-0.7
0.8836,0.7553029283407625,0.016460138596335532,0.8245831312417984,0.0034829907980228002,0.9765279975304982,0.008635612725028276,0.8561957103105889,0.0007509950933811641,0.3092,-0.7
0.8712,0.6715199985222488,0.03987210299015473,0.5738267805591808,0.0884308316405976,0.6405273659127152,0.05320986411676638,0.169930202497814,0.4917793288887569,0.2988,-0.7
0.8798,0.7149329525250853,0.0271811433430958,0.6226408692028839,0.0661308185523283,0.6008344273594406,0.07782179071867525,0.18240082091113155,0.4863656149938277,0.3122,-0.7
0.8766,0.7081087328267248,0.028389307113656014,0.6347012576422588,0.05851500155425687,0.8061732717030575,0.004959924058611364,0.6668154343386972,0.044009563989701496,0.2996,-0.7
0.8782,0.6903451811561919,0.03528943296283994,0.6045298601349816,0.07489534545373874,0.5787371949663097,0.08967797159864599,0.09054844246688643,0.6203949760843397,0.3058,-0.7
0.8752,0.6947686536625949,0.03255547074112863,0.6098700943037868,0.07039995885676138,0.6430198091098438,0.05390764104178936,0.14434943100103573,0.5341425542061099,0.3072,-0.7
0.8676,0.6910070837944895,0.03118505805396647,0.6967537833875609,0.02918842973078448,0.7262911261137459,0.019968197839001275,0.15814026841435588,0.5033331107415742,0.308,-0.7
0.879,0.6619775479315372,0.04709874470180824,0.5703746217913925,0.095249624074406,0.42335206825345906,0.20761503770490045,0.1394199924220783,0.5469785876089588,0.2996,-0.7
0.8836,0.6949879090328084,0.03557452085901618,0.6606186623791916,0.04972067692716495,0.6571377774145851,0.051285138258326014,0.16146567975320333,0.5214779764783031,0.305,-0.7
0.868,0.687574348605167,0.03255341568124981,0.4985939127118327,0.1364608573255531,0.5714698477161767,0.08793013121346743,0.33157412876627057,0.28775271532886565,0.3088,-0.7
0.8764,0.6986706504191766,0.0315877217024225,0.561534366353351,0.09914036725170577,0.7716450225161542,0.010973605307641033,0.4031188462067415,0.22399505053587798,0.3148,-0.7
0.8696,0.6983299069984491,0.02933344475675991,0.6929248115882277,0.03121412220033525,0.7245408473142673,0.021042157777902734,0.13057980500368027,0.5461508486123985,0.3076,-0.7
0.8726,0.7035692687138769,0.02857138811912156,0.6711983199429699,0.04056263672979435,0.645856142169627,0.051412777063800444,0.1521251756515032,0.5190839725199974,0.3008,-0.7
